0 0 1995
1 1995 3118
2 5113 6285
3 11398 997
4 12395 6646
5 19041 951
6 19992 1161
7 21153 799
8 21952 6298
9 28250 2832
10 31082 5052
11 36134 9076
12 45210 7361
13 52571 1850
14 54421 5497
15 59918 3620
16 63538 1530
17 65068 646
18 65714 3291
19 69005 9070
20 78075 2885
21 80960 2220
22 83180 5683
23 88863 1315
24 90178 4399
25 94577 695
26 95272 2568
27 97840 1557
28 99397 1148
29 100545 2517
30 103062 4368
31 107430 2914
32 110344 5399
33 115743 5834
34 121577 4447
35 126024 2764
36 128788 2084
37 130872 1084
38 131956 824
39 132780 2643
40 135423 5745
41 141168 964
42 142132 1836
43 143968 1763
44 145731 7482
45 153213 1223
46 154436 2220
47 156656 2432
48 159088 1396
49 160484 585
50 161069 4999
51 166068 6088
52 172156 11594
53 183750 1238
54 184988 2357
55 187345 1044
56 188389 1283
57 189672 2189
58 191861 2803
59 194664 5174
60 199838 2440
61 202278 3022
62 205300 20018
63 225318 2863
64 228181 1629
65 229810 2252
66 232062 1770
67 233832 1463
68 235295 7324
69 242619 4580
70 247199 12557
71 259756 2419
72 262175 1835
73 264010 1460
74 265470 3115
75 268585 1386
76 269971 3862
77 273833 1118
78 274951 1145
79 276096 1351
80 277447 2415
81 279862 1974
82 281836 2375
83 284211 3430
84 287641 210
85 287851 983
86 288834 7276
87 296110 5186
88 301296 6528
89 307824 4419
90 312243 3694
91 315937 2747
92 318684 30560
93 349244 3944
94 353188 5225
95 358413 2857
96 361270 1969
97 363239 4713
98 367952 1231
99 369183 2559
100 371742 1592
101 373334 222
102 373556 2809
103 376365 941
104 377306 1065
105 378371 15413
106 393784 6382
107 400166 13895
108 414061 734
109 414795 2767
110 417562 2049
111 419611 2592
112 422203 2774
113 424977 1767
114 426744 19847
115 446591 9039
116 455630 3569
117 459199 3551
118 462750 3392
119 466142 2099
120 468241 3333
121 471574 423
122 471997 2898
123 474895 4077
124 478972 2955
125 481927 922
126 482849 682
127 483531 3819
128 487350 231
129 487581 28419
130 516000 4175
131 520175 7350
132 527525 9254
133 536779 30007
134 566786 19514
135 586300 955
136 587255 609
137 587864 2329
138 590193 1611
139 591804 4962
140 596766 3312
141 600078 4045
142 604123 2497
143 606620 4588
144 611208 1141
145 612349 2000
146 614349 667
147 615016 414
148 615430 9839
149 625269 2294
150 627563 853
151 628416 30152
152 658568 3509
153 662077 904
154 662981 2571
155 665552 3099
156 668651 329
157 668980 7171
158 676151 18863
159 695014 5670
160 700684 1299
161 701983 2176
162 704159 2344
163 706503 2605
164 709108 1239
165 710347 8929
166 719276 3624
167 722900 2346
168 725246 21867
169 747113 845
170 747958 384
171 748342 1147
172 749489 3817
173 753306 1112
174 754418 3512
175 757930 3247
176 761177 1582
177 762759 1351
178 764110 2021
179 766131 2141
180 768272 1279
181 769551 1294
182 770845 3871
183 774716 531
184 775247 6429
185 781676 2556
186 784232 3645
187 787877 786
188 788663 1266
189 789929 2371
190 792300 654
191 792954 771
192 793725 4977
193 798702 741
194 799443 3224
195 802667 746
196 803413 6198
197 809611 6338
198 815949 5728
199 821677 10656
200 832333 3796
201 836129 1563
202 837692 2146
203 839838 9529
204 849367 4279
205 853646 6374
206 860020 3043
207 863063 6087
208 869150 6067
209 875217 1684
210 876901 6475
211 883376 3290
212 886666 6669
213 893335 8969
214 902304 1396
215 903700 2908
216 906608 1780
